姓名,科目1,科目2,科目3,科目4,科目5,科目6,科目7
鄭憲定,41,55,69,82,69,49,67
景歡燦,56,56,73,73,93,41,87
楊火帆,76,48,61,54,93,41,57
蕭淑華,53,61,77,93,81,70,97
陳美惠,53,44,83,49,72,51,90
張雅芬,70,95,41,100,44,43,68
馮芳如,53,62,52,60,52,51,79
陳怡珊,89,62,61,56,59,97,73
胡芳瑜,52,75,81,77,47,95,100
李慈啟,55,74,75,81,76,99,52
簡佳樺,60,65,46,47,99,83,66
王梅劭,48,54,87,90,60,97,96
陳樂紫,45,96,95,46,91,80,89
吳柏誠,99,78,69,71,52,74,50
趙偉銘,40,81,54,83,72,42,50
吳晴洋,59,76,75,76,93,69,64
蒙淑惠,43,51,57,40,65,75,59
陳凱翔,51,55,92,52,84,68,100
高俊男,83,51,42,47,68,71,86
邱亭君,93,79,96,89,100,80,61
林俊翔,41,46,86,56,53,56,89
吳柏誠,79,67,49,69,76,52,76
鄧哲榮,58,71,53,53,70,86,41
林建勳,91,93,49,75,71,94,70
陳樂紫,89,42,57,62,46,86,74
余月修,72,67,78,90,91,86,96
朱士弘,56,59,86,59,68,53,94
李湘婷,62,51,50,90,87,44,83
蔡嘉音,88,97,94,64,41,66,79
郎慧萍,82,78,80,98,70,69,56
陳奇瑄,82,73,74,74,97,96,75
藍姿婷,74,56,62,80,48,80,97
王怡珊,89,69,52,48,94,58,86
陳孝邦,93,84,69,68,53,86,58
蔡明平,88,96,78,73,63,75,83
陳淑萍,88,70,54,71,64,68,54
楊綺芬,84,71,68,46,100,93,41
高信宏,91,69,85,77,100,71,67
林淑安,61,45,86,97,87,82,80
王德城,54,74,70,85,95,55,92
陳怡容,59,90,85,70,65,88,99
陳得映,58,95,61,67,66,100,95
張伊映,73,82,44,89,86,75,79
翁鈺婷,43,68,73,52,94,82,87
聶心怡,64,41,98,61,70,54,51
鄧亭聿,76,45,53,90,46,68,40
黃淑芬,64,70,64,49,52,57,63
周芷蓁,68,67,81,70,75,53,95
林瑞喬,43,95,53,49,61,85,55
李政白,52,53,67,49,75,73,44
