姓名,科目1,科目2,科目3,科目4,科目5,科目6,科目7
鄭佳玲,81,70,78,58,43,55,100
林柏洋,75,89,52,76,79,84,82
周琬婷,46,66,67,64,90,42,98
黃佩玲,88,65,70,79,46,96,84
李淑芳,55,53,75,48,81,92,81
洪阿惠,64,94,64,85,47,63,71
藍哲嘉,43,75,64,99,91,96,40
臧怡君,44,59,59,64,65,93,74
陳淑娟,59,80,81,93,78,89,52
張慧君,46,71,90,67,43,86,48
吳孟穎,88,87,99,41,91,72,49
蔡明平,99,46,85,98,68,60,100
李美洋,87,64,87,42,84,72,48
黃旻林,77,76,52,70,51,76,54
陳淑萍,40,68,61,75,43,90,51
李雅怡,89,89,73,64,95,82,56
胡姿婷,43,62,69,85,49,61,100
戚亨,94,75,47,97,80,100,74
高智超,100,74,69,42,79,49,82
白世宏,42,99,58,74,62,87,65
蘇婷婷,45,100,40,80,59,57,63
黃心航,99,64,82,99,59,74,59
李慈啟,45,68,45,97,86,73,58
方筠紹,63,53,96,81,77,67,66
郭淑真,92,100,58,65,98,98,45
鄧亭聿,40,81,78,64,95,83,80
陳慧君,90,93,72,56,66,75,54
李淑芳,100,97,88,61,64,92,96
艾巧夫,93,75,83,48,81,58,66
杜儀鳳,80,46,94,53,69,52,44
劉依婷,62,57,51,43,66,73,76
蔡士賢,53,59,53,73,98,45,73
陳向愛,52,67,90,98,54,66,80
蕭淑華,76,96,87,76,75,71,47
林建宏,80,79,63,89,99,64,58
溫重意,94,74,77,98,95,86,51
杜儀鳳,89,89,54,82,67,96,84
林柏洋,70,44,91,52,64,54,76
孫宜珊,84,68,53,74,93,45,61
杜明延,43,53,64,52,74,43,46
朱惠儀,73,97,94,89,72,96,93
黃奎紹,90,92,90,73,90,100,61
吳振瑋,63,86,40,99,84,84,96
陳信念,58,42,76,70,86,55,44
許淑婷,59,89,49,78,53,95,97
李佳彥,67,71,99,69,98,41,41
林柏洋,69,48,94,72,81,79,64
王坤安,94,60,44,42,53,48,88
李進慧,47,75,49,85,78,59,66
蕭淑華,74,43,84,54,42,71,89
